Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
73,Bengaluru Dasarahalli,9th-10th Century,Unclear Cause,13.0542041,77.6150685,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Moderately elaborate,1,Not inscribed
74,Bengaluru Dasarahalli1,14th-15th Century,Sati,13.054241,77.6150648,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Gandhara Buddha style bun -- possibly Buddhist,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear; unclear; unclear,Moderately elaborate,1,Not inscribed
75,Bengaluru Dasarahalli2,14th-15th Century,Skirmish,13.0542033,77.6150441,2 (2M),"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Semi-moderate,1,Not inscribed
76,Bengaluru Dasarahalli3,14th-15th Century,Unclear Cause,13.0542199,77.6150573,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,1,Not inscribed
77,Bengaluru Dasarahalli4,14th-15th Century,Unclear Cause,13.0542324,77.6150499,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,1,Not inscribed
78,Bengaluru Devasandra1,14th-15th Century,Skirmish,13.00461,77.700907,2 (2F),Female (dress and anatomy),Not transported,Buddhist -- possible Boddhisattva in top register,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,2,Not inscribed
79,Bengaluru Gokhale Institute1,12th-13th Century,Skirmish,12.939663,77.56678,1,"M (dress, anatomy)",Palanquin carried by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Royal rich??? -- jewels, attendants",RH,Elaborately carved,5,Inscribed
80,Bengaluru Gokhale Institute2,12th-13th Century,Skirmish,12.9396636,77.5667835,2 (2M),"M (dress, anatomy)",Palanquin carried by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous; unclear,Elaborately carved,4,Inscribed
81,Bengaluru Jakkur 1,10th-11th Century,Self Sacrifice,13.078951,77.607183,2 (1M; 1F),"M, F (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",M: unclear; F: RH,Moderately elaborate,3,Not inscribed
82,Bengaluru Panattur1,14th-15th Century,Sati (Veera Masti),12.933107,77.70714,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",M: RH; F: RH,Semi-moderate,1,Not inscribed
